CODE,NAME
SHS@000300,CSI 300 INDEX
SX5E,EURO STOXX 50
SX7E,EURO STOXX Banks
MXWD,MSCI ACWI
MSELTKO,MSCI Korea KR
NII@NI225,니케이225
DJK@XNT,S&P/ASX 200 (Net TR)
SPI@SPX,S&P 500
TSE@TSI01,TOPIX
NAS@IXIC,나스닥 종합
DJI@DJC,다우 종합
TWS@TI55,대만 주가지수
XTR@DAX30,독일 DAX30
IMOEX,러시아 MOEX
RUI@RTSI,러시아 RTS
VNI@VHIN,베트남 하노이
VNI@VIDX,베트남 호치민
HOS@VN30,베트남 호치민 VN30
BRI@BVSP,브라질 BOVESPA
SHS@000001,상해종합
SZS@399106,심천종합지수
SGI@STI,권한없음[SGI@STI]
FTS@UKX,권한없음[FTS@UKX]
INI@BSE30,인도 SENSEX
IDI@JKSE,인도네시아 IDX종합
JSD@JSI01,자스닥 종합
THI@SET,권한없음[THI@SET]
PAS@CAC40,프랑스 CAC 40
HSI@HSI,항셍
HSI@HSCE,항셍 차이나기업(H)
AUI@AORD,호주 ALL ORDS
SX5E,EURO STOXX 50
SX5TS,EURO STOXX 50 Daily Short(GTR) Index
SD3E,ESTXSD30 EUR P
FTS@UKX,권한없음[FTS@UKX]
ISI@ICEXI,OMX Iceland All Share
SVI@SBITOP,Slovenian Blue Chip Idx
AEI@DFM,UAE 두바이 파이낸셜
GRI@ASE,그리스 종합
NGI@NGSE,나이지리아 NGSE
NLI@AEX,네덜란드 AEX
NOI@OSEAX,노르웨이
NZI@NZ50,뉴질랜드 NZ50
DKI@KFX,덴마크 OMX 코펜하겐 20
XTR@DAX30,독일 DAX30
LVI@RIGSE,라트비아 RIGSE
IMOEX,러시아 MOEX
RUI@RTSI,러시아 RTS
LTI@VILSE,리투아니아 빌뉴스
MYI@KLSE,권한없음[MYI@KLSE]
MTI@MALTEX,말타 MSE
MXI@INMEX,멕시코 INMEX
MXI@IPC,멕시코 IPC
MAI@MASI,모로코 MASI
BHI@ASI,바레인 ASI
VEI@INDG,베네주엘라
VNI@VHIN,베트남 하노이
VNI@VIDX,베트남 호치민
HOS@VN30,베트남 호치민 VN30
BEI@MFX,벨기에 BEL-20
BUI@SOFIX,불가리아 SOFIX
BRI@BVSP,브라질 BOVESPA
BRI@BVSPX,브라질 BOVESPA
SAI@TASI,사우디 SHARE PRICE
SRI@CSEALL,스리랑카 CSE
SEI@OMXS30,스웨덴 OMX STOCKHOLOM 30
SEI@SXASI,스웨덴 OMX Stockholm All-Share Index
CHI@SSMI,스위스 SMI
ESI@IBEX,스페인 IBEX-35
SGI@STI,권한없음[SGI@STI]
ARI@MERV,아르헨티나 MERVAL
IEI@ISEQ,아일랜드 ISEQ
ETI@TALSE,에스토니아 TALLINN
OMI@MSMI,오만 MSM
ATI@ATX,오스트리아 ATX
JOI@FTI,요르단 FTI
ILI@TA125,이스라엘 TASE-125
EGI@CASE30,이집트 CSE CASE 30
ITI@FTSEMIB,권한없음[ITI@FTSEMIB]
INI@BSE30,인도 SENSEX
IDI@JKSE,인도네시아 IDX종합
PAI@PX50,체코 프라하 PX50
CLI@IGPA,칠레 IGPA
QAI@MKIX,카타르
CAI@SPTSX,캐나다 S&P TSX
CAI@SPTSXX,캐나다 S&P TSX
COI@COLCAP,콜롬비아 COLCAP
KWI@MKIX,쿠웨이트
THI@SET,권한없음[THI@SET]
TRI@ISE100,터키 ISE100
PKI@KSE100,파키스탄 KSE 100
PTI@PSI20,포르투갈 PSI20
PLI@WIGI,폴란드 WIGI
PAS@CAC40,프랑스 CAC 40
FII@HEX,핀란드 HEL25
PHI@COMP,필리핀
HUI@BUX,헝가리 BUX
AUI@AORD,호주 ALL ORDS
