CODE,NAME
NYS@XOM*083,엑슨 모빌
NYS@WMT*083,월마트
NYS@VZ*083,버라이존 커뮤니케이션스
NYS@V*083,비자
NYS@UTX*083,유나이티드 테크놀로지스
NYS@UNH*083,유나이티드헬스 그룹
NYS@TRV*083,트래블러스 컴퍼니스
NYS@PG*083,Procter & Gamble Company (The)
NYS@PFE*083,화이자
NYS@NKE*083,나이키
NYS@MRK*083,머크
NYS@MMM*083,쓰리엠
NYS@MCD*083,맥도날드
NYS@KO*083,코카콜라
NYS@JPM*083,제이피모간체이스
NYS@JNJ*083,존슨앤드존슨
NYS@IBM*083,International Business Machines Corporation
NYS@HD*083,홈디포
NYS@GS*083,골드만 삭스
NYS@DOW*083,다우 케미컬
NYS@DIS*083,월트 디즈니
NYS@CVX*083,셰브론
NYS@CAT*083,캐터필러
NYS@BA*083,보잉
NYS@AXP*083,아메리칸 엑스프레스
NAS@WBA*083,월그린스 부츠 얼라이언스
NAS@MSFT*083,마이크로소프트
NAS@INTC*083,인텔
NAS@CSCO*083,시스코 시스템즈
NAS@AAPL*083,애플
NYS@ZTS*083,조에티스
NYS@ZBH*083,짐머 바이오멧 홀딩스
NYS@YUM*083,염! 브랜즈
NYS@XYL*083,자일럼/NY
NYS@XRX*083,제록스
NYS@XOM*083,엑슨 모빌
NYS@XEC*083,시마렉스 에너지
NYS@WY*083,와이어하우저
NYS@WU*083,웨스턴유니온
NYS@WRK*083,웨스트록
NYS@WMT*083,월마트
NYS@WMB*083,윌리엄스 컴퍼니즈
NYS@WM*083,Waste Management, Inc.
NYS@WHR*083,월풀
NYS@WFC*083,웰스파고
NYS@WELL*083,Welltower Inc.
NYS@WEC*083,WEC 에너지 그룹
NYS@WCG*083,웰케어 헬스 플랜
NYS@WAT*083,워터스
NYS@WAB*083,왑텍
NYS@VZ*083,버라이존 커뮤니케이션스
NYS@VTR*083,벤타스
NYS@VNO*083,보나도 리얼티 트러스트
NYS@VMC*083,불칸 머티리얼스
NYS@VLO*083,발레로 에너지
NYS@VFC*083,V.F. Corporation
NYS@VAR*083,배리언 메디컬 시스템
NYS@V*083,비자
NYS@UTX*083,유나이티드 테크놀로지스
NYS@USB*083,U.S. 뱅코프
NYS@URI*083,유나이티드 렌탈스
NYS@UPS*083,United Parcel Service, Inc.
NYS@UNP*083,유니온 퍼시픽
NYS@UNM*083,유넘그룹
